dataset_names	dataset_lengths	allSameLength	dataset_ntaxa	nMajData	pctData	minQs	meanQs	maxQs
26	ENSACAP00000015885_exon1.NT.TN	282	yes	34	34	92.8	2	20.38	126
27	ENSACAP00000003617_exon1.NT.TN	279	yes	35	35	94.4	0	15.71	86
28	ENSACAP00000018298_exon2.NT.TN	270	yes	34	34	91.8	0	22.06	128
29	ENSACAP00000013517_exon1.NT.TN	267	yes	34	34	95.1	0	13.09	78
30	ENSACAP00000012148_exon2.NT.TN	243	yes	32	32	95.7	0	10.47	79
31	ENSACAP00000002201_exon1.NT.TN	237	yes	35	35	95.1	0	11.57	106
32	ENSACAP00000017277_exon6.NT.TN	234	yes	34	34	94	0	14	94
33	ENSACAP00000004369_exon10.NT.TN	219	yes	34	34	95.4	0	10.15	48
34	ENSACAP00000005152_exon24.NT.TN	219	yes	34	34	92.5	0	16.32	103
35	ENSACAP00000014072_exon2.NT.TN	213	yes	35	35	93.5	0	13.74	90
36	ENSACAP00000001380_exon1.NT.TN	210	yes	35	35	94.9	0	10.63	81
37	ENSACAP00000012057_exon1.NT.TN	207	yes	33	33	94.1	0	12.21	66
38	ENSACAP00000003643_exon1.NT.TN	204	yes	32	32	94.6	0	11.03	101
39	ENSACAP00000011042_exon1.NT.TN	438	yes	34	34	95.1	0	21.32	171
40	ENSACAP00000018565_exon1.NT.TN	435	yes	33	33	95.2	0	20.82	203
41	ENSACAP00000000252_exon26.NT.TN	423	yes	32	32	97.1	0	12.31	75
42	ENSACAP00000012153_exon12.NT.TN	381	yes	32	32	95.6	0	16.59	83
43	ENSACAP00000016245_exon1.NT.TN	369	yes	33	33	97.8	0	8.27	53
44	ENSACAP00000014084_exon1.NT.TN	315	yes	33	33	94.7	0	16.58	78
45	ENSACAP00000017397_exon7.NT.TN	303	yes	33	33	94.9	0	15.55	129
46	ENSACAP00000011559_exon4.NT.TN	294	yes	32	32	96	0	11.72	69
47	ENSACAP00000010133_exon19.NT.TN	285	yes	33	33	94.8	0	14.73	122
48	ENSACAP00000011314_exon5.NT.TN	285	yes	33	33	95.1	0	13.79	76
49	ENSACAP00000000554_exon1.NT.TN	273	yes	33	33	94.8	0	14.06	109
50	ENSACAP00000019951_exon1.NT.TN	264	yes	32	32	96.1	0	10.28	80
51	ENSACAP00000008277_exon1.NT.TN	261	yes	32	32	96.4	0	9.31	63
52	ENSACAP00000001497_exon1.NT.TN	231	yes	31	31	95.3	0	10.97	92
53	ENSACAP00000001523_exon2.NT.TN	225	yes	34	34	93.5	0	14.59	77
54	ENSACAP00000006981_exon1.NT.TN	489	yes	32	32	91.6	0	41.16	244
55	ENSACAP00000002399_exon16.NT.TN	414	yes	32	32	94.9	0	21.22	106
56	ENSACAP00000011041_exon6.NT.TN	414	yes	32	32	92.1	0	32.91	196
57	ENSACAP00000007432_exon6.NT.TN	360	yes	33	33	94.2	0	20.76	178
58	ENSACAP00000004321_exon1.NT.TN	291	yes	32	32	95.6	0	12.69	73
59	ENSACAP00000014575_exon6.NT.TN	240	yes	33	33	95.7	0	10.3	60
60	ENSACAP00000015952_exon1.NT.TN	240	yes	32	32	95.4	0	11.16	66
61	ENSACAP00000001848_exon1.NT.TN	216	yes	32	32	92.7	0	15.75	104
62	ENSACAP00000013201_exon1.NT.TN	216	yes	31	31	92.6	0	15.87	96
63	ENSACAP00000007768_exon1.NT.TN	207	yes	32	32	94.7	0	10.91	70
64	ENSACAP00000004349_exon1.NT.TN	204	yes	32	32	94	0	12.19	63
65	ENSACAP00000011624_exon27.NT.TN	204	yes	32	32	94	0	12.19	70
66	ENSACAP00000010117_exon1.NT.TN	471	yes	30	30	89.1	0	51.2	229
67	ENSACAP00000013262_exon63.NT.TN	441	yes	31	31	94.5	0	24.29	169
68	ENSACAP00000011140_exon1.NT.TN	381	yes	32	32	93.4	0	25.16	119
69	ENSACAP00000007541_exon5.NT.TN	294	yes	31	31	96	0	11.74	66
70	ENSACAP00000004057_exon14.NT.TN	273	yes	32	32	92.2	0	21.19	123
71	ENSACAP00000015396_exon1.NT.TN	255	yes	31	31	95.9	0	10.45	51
72	ENSACAP00000012225_exon1.NT.TN	240	yes	31	31	92.1	0	19.03	113
73	ENSACAP00000000366_exon21.NT.TN	213	yes	32	32	92.6	0	15.69	103
74	ENSACAP00000006565_exon4.NT.TN	210	yes	32	32	96.3	0	7.78	52
75	ENSACAP00000014355_exon19.NT.TN	207	yes	31	31	93.4	0	13.65	87
76	ENSACAP00000015257_exon11.NT.TN	207	yes	33	33	93.1	0	14.18	64
77	ENSACAP00000007889_exon1.NT.TN	420	yes	32	32	96	0	16.84	90
78	ENSACAP00000015194_exon21.NT.TN	408	yes	31	31	91.3	0	35.55	143
79	ENSACAP00000001875_exon3.NT.TN	384	yes	31	31	89.8	0	39.29	151
80	ENSACAP00000001416_exon1.NT.TN	336	yes	30	30	92.5	0	25.37	127
81	ENSACAP00000007680_exon1.NT.TN	291	yes	30	30	96.5	0	10.23	101
82	ENSACAP00000008031_exon9.NT.TN	288	yes	31	31	91.7	0	23.97	126
83	ENSACAP00000004707_exon1.NT.TN	276	yes	29	29	91.9	0	22.28	134
84	ENSACAP00000012027_exon1.NT.TN	276	yes	30	30	93.5	0	17.87	127
85	ENSACAP00000002109_exon12.NT.TN	216	yes	30	30	93.6	0	13.9	80
86	ENSACAP00000022005_exon1.NT.TN	213	yes	31	31	95.4	0	9.77	49
87	ENSACAP00000007949_exon2.NT.TN	204	yes	30	30	93.7	0	12.83	102
88	ENSACAP00000000368_exon4.NT.TN	201	yes	30	30	94.5	0	11.07	92
89	ENSACAP00000016420_exon15.NT.TN	201	yes	32	32	92.7	0	14.72	87
90	ENSACAP00000007154_exon18.NT.TN	288	yes	30	30	95.6	0	12.57	90
91	ENSACAP00000011988_exon2.NT.TN	270	yes	30	30	94.1	0	15.83	95
92	ENSACAP00000010184_exon4.NT.TN	261	yes	31	31	93.7	0	16.39	83
93	ENSACAP00000011254_exon2.NT.TN	255	yes	30	30	95.8	0	10.6	75
94	ENSACAP00000001619_exon1.NT.TN	249	yes	31	31	91.2	0	21.94	122
95	ENSACAP00000000595_exon1.NT.TN	246	yes	28	28	93.1	0	17.04	88
96	ENSACAP00000003955_exon49.NT.TN	213	yes	30	30	93.3	0	14.33	76
97	ENSACAP00000016734_exon1.NT.TN	210	yes	31	31	93.6	0	13.42	101
98	ENSACAP00000013023_exon12.NT.TN	204	yes	31	31	94.4	0	11.32	100
99	ENSACAP00000005159_exon27.NT.TN	492	yes	30	30	94.3	0	28.23	160
100	ENSACAP00000016801_exon1.NT.TN	483	yes	29	29	94.1	0	28.55	201
101	ENSACAP00000001754_exon1.NT.TN	360	yes	30	30	94.7	0	19.27	100
102	ENSACAP00000011216_exon1.NT.TN	351	yes	34	34	94.1	0	20.79	158
103	ENSACAP00000007408_exon1.NT.TN	345	yes	29	29	94.7	0	18.41	110
104	ENSACAP00000020799_exon1.NT.TN	267	yes	29	29	94	0	15.9	117
105	ENSACAP00000004540_exon34.NT.TN	225	yes	30	30	94.6	0	12.1	75
106	ENSACAP00000003905_exon1.NT.TN	222	yes	29	29	92.3	0	17.17	111
107	ENSACAP00000001363_exon1.NT.TN	267	yes	33	33	93.8	0	16.48	123
