dataset_names	dataset_lengths	allSameLength	dataset_ntaxa	nMajData	pctData	minQs	meanQs	maxQs
26	ENSACAP00000015885_exon1.NT.TN	282	yes	34	34	92.8	2	20.38	126
27	ENSACAP00000003617_exon1.NT.TN	279	yes	35	35	94.4	0	15.71	86
28	ENSACAP00000018298_exon2.NT.TN	270	yes	34	34	91.8	0	22.06	128
29	ENSACAP00000013517_exon1.NT.TN	267	yes	34	34	95.1	0	13.09	78
30	ENSACAP00000012148_exon2.NT.TN	243	yes	34	32	91.9	0	19.79	175
31	ENSACAP00000002201_exon1.NT.TN	237	yes	35	35	95.1	0	11.57	106
32	ENSACAP00000017277_exon6.NT.TN	234	yes	34	34	94	0	14	94
33	ENSACAP00000004369_exon10.NT.TN	219	yes	34	34	95.4	0	10.15	48
34	ENSACAP00000005152_exon24.NT.TN	219	yes	34	34	92.5	0	16.32	103
35	ENSACAP00000014072_exon2.NT.TN	213	yes	35	35	93.5	0	13.74	90
36	ENSACAP00000001380_exon1.NT.TN	210	yes	35	35	94.9	0	10.63	81
37	ENSACAP00000012057_exon1.NT.TN	207	yes	34	33	92.7	0	15.18	113
38	ENSACAP00000003643_exon1.NT.TN	204	yes	34	32	91.8	0	16.79	115
39	ENSACAP00000011042_exon1.NT.TN	438	yes	35	34	93.8	0	27.29	230
40	ENSACAP00000018565_exon1.NT.TN	435	yes	33	33	95.2	0	20.82	203
41	ENSACAP00000000252_exon26.NT.TN	423	yes	33	32	95.4	0	19.61	253
42	ENSACAP00000012153_exon12.NT.TN	381	yes	33	32	94	0	22.82	222
43	ENSACAP00000016245_exon1.NT.TN	369	yes	34	33	95.9	0	15.24	245
44	ENSACAP00000014084_exon1.NT.TN	315	yes	33	33	94.7	0	16.58	78
45	ENSACAP00000017397_exon7.NT.TN	303	yes	33	33	94.9	0	15.55	129
46	ENSACAP00000011559_exon4.NT.TN	294	yes	33	32	93.5	0	19.09	255
47	ENSACAP00000010133_exon19.NT.TN	285	yes	33	33	94.8	0	14.73	122
48	ENSACAP00000011314_exon5.NT.TN	285	yes	33	33	95.1	0	13.79	76
49	ENSACAP00000000554_exon1.NT.TN	273	yes	34	33	93	0	19.03	183
50	ENSACAP00000019951_exon1.NT.TN	264	yes	33	32	94.3	0	15.12	170
51	ENSACAP00000008277_exon1.NT.TN	261	yes	34	32	92.5	0	19.56	196
52	ENSACAP00000001497_exon1.NT.TN	231	yes	33	31	91.7	0	19.21	157
53	ENSACAP00000001523_exon2.NT.TN	225	yes	34	34	93.5	0	14.59	77
54	ENSACAP00000006981_exon1.NT.TN	489	yes	33	32	89.5	0	51.3	376
55	ENSACAP00000002399_exon16.NT.TN	414	yes	32	32	94.9	0	21.22	106
56	ENSACAP00000011041_exon6.NT.TN	414	yes	32	32	92.1	0	32.91	196
57	ENSACAP00000007432_exon6.NT.TN	360	yes	33	33	94.2	0	20.76	178
58	ENSACAP00000004321_exon1.NT.TN	291	yes	32	32	95.6	0	12.69	73
59	ENSACAP00000014575_exon6.NT.TN	240	yes	33	33	95.7	0	10.3	60
60	ENSACAP00000015952_exon1.NT.TN	240	yes	32	32	95.4	0	11.16	66
61	ENSACAP00000001848_exon1.NT.TN	216	yes	33	32	91.3	0	18.76	115
62	ENSACAP00000013201_exon1.NT.TN	216	yes	32	31	90.4	0	20.78	173
63	ENSACAP00000007768_exon1.NT.TN	207	yes	32	32	94.7	0	10.91	70
64	ENSACAP00000004349_exon1.NT.TN	204	yes	32	32	94	0	12.19	63
65	ENSACAP00000011624_exon27.NT.TN	204	yes	32	32	94	0	12.19	70
66	ENSACAP00000010117_exon1.NT.TN	471	yes	33	30	84.6	0	72.55	290
67	ENSACAP00000013262_exon63.NT.TN	441	yes	33	31	90.5	0	41.85	338
68	ENSACAP00000011140_exon1.NT.TN	381	yes	32	32	93.4	0	25.16	119
69	ENSACAP00000007541_exon5.NT.TN	294	yes	32	31	93.4	0	19.53	261
70	ENSACAP00000004057_exon14.NT.TN	273	yes	32	32	92.2	0	21.19	123
71	ENSACAP00000015396_exon1.NT.TN	255	yes	31	31	95.9	0	10.45	51
72	ENSACAP00000012225_exon1.NT.TN	240	yes	32	31	90.7	0	22.34	125
73	ENSACAP00000000366_exon21.NT.TN	213	yes	32	32	92.6	0	15.69	103
74	ENSACAP00000006565_exon4.NT.TN	210	yes	32	32	96.3	0	7.78	52
75	ENSACAP00000014355_exon19.NT.TN	207	yes	33	31	89.7	0	21.3	153
76	ENSACAP00000015257_exon11.NT.TN	207	yes	33	33	93.1	0	14.18	64
77	ENSACAP00000007889_exon1.NT.TN	420	yes	32	32	96	0	16.84	90
78	ENSACAP00000015194_exon21.NT.TN	408	yes	32	31	88.9	0	45.31	348
79	ENSACAP00000001875_exon3.NT.TN	384	yes	32	31	88.5	0	44.25	198
80	ENSACAP00000001416_exon1.NT.TN	336	yes	32	30	89.4	0	35.62	201
81	ENSACAP00000007680_exon1.NT.TN	291	yes	30	30	96.5	0	10.23	101
82	ENSACAP00000008031_exon9.NT.TN	288	yes	33	31	88.4	0	33.48	211
83	ENSACAP00000004707_exon1.NT.TN	276	yes	31	29	87.5	0	34.52	250
84	ENSACAP00000012027_exon1.NT.TN	276	yes	32	30	89.4	0	29.31	205
85	ENSACAP00000002109_exon12.NT.TN	216	yes	30	30	93.6	0	13.9	80
86	ENSACAP00000022005_exon1.NT.TN	213	yes	31	31	95.4	0	9.77	49
87	ENSACAP00000007949_exon2.NT.TN	204	yes	33	30	88.8	0	22.79	137
88	ENSACAP00000000368_exon4.NT.TN	201	yes	31	30	92.8	0	14.45	116
89	ENSACAP00000016420_exon15.NT.TN	201	yes	32	32	92.7	0	14.72	87
90	ENSACAP00000007154_exon18.NT.TN	288	yes	30	30	95.6	0	12.57	90
91	ENSACAP00000011988_exon2.NT.TN	270	yes	31	30	92.7	0	19.81	139
92	ENSACAP00000010184_exon4.NT.TN	261	yes	31	31	93.7	0	16.39	83
93	ENSACAP00000011254_exon2.NT.TN	255	yes	31	30	94	0	15.35	158
94	ENSACAP00000001619_exon1.NT.TN	249	yes	31	31	91.2	0	21.94	122
95	ENSACAP00000000595_exon1.NT.TN	246	yes	30	28	89.2	0	26.7	182
96	ENSACAP00000003955_exon49.NT.TN	213	yes	30	30	93.3	0	14.33	76
97	ENSACAP00000016734_exon1.NT.TN	210	yes	32	31	92.2	0	16.38	108
98	ENSACAP00000013023_exon12.NT.TN	204	yes	31	31	94.4	0	11.32	100
99	ENSACAP00000005159_exon27.NT.TN	492	yes	30	30	94.3	0	28.23	160
100	ENSACAP00000016801_exon1.NT.TN	483	yes	31	29	90.1	0	48	356
101	ENSACAP00000001754_exon1.NT.TN	360	yes	30	30	94.7	0	19.27	100
102	ENSACAP00000011216_exon1.NT.TN	351	yes	35	34	92.7	0	25.69	192
103	ENSACAP00000007408_exon1.NT.TN	345	yes	30	29	92.6	0	25.57	233
104	ENSACAP00000020799_exon1.NT.TN	267	yes	30	29	91.7	0	22.13	203
105	ENSACAP00000004540_exon34.NT.TN	225	yes	30	30	94.6	0	12.1	75
106	ENSACAP00000003905_exon1.NT.TN	222	yes	29	29	92.3	0	17.17	111
107	ENSACAP00000001363_exon1.NT.TN	267	yes	33	33	93.8	0	16.48	123
